full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,110016,110016,18283,185,185,40,https://github.com/anthropics/claude-code
claude-code-best/claude-code,14258,14258,14272,105,105,59,https://github.com/claude-code-best/claude-code
affaan-m/everything-claude-code,142964,142964,21772,554,554,129,https://github.com/affaan-m/everything-claude-code
jarmuine/claude-code,1872,1872,5523,16,16,14,https://github.com/jarmuine/claude-code
shareAI-lab/learn-claude-code,49141,49141,7946,117,117,17,https://github.com/shareAI-lab/learn-claude-code
ChinaSiro/claude-code-sourcemap,8525,8525,14183,16,16,13,https://github.com/ChinaSiro/claude-code-sourcemap
yasasbanukaofficial/claude-code,1779,1779,3049,44,44,49,https://github.com/yasasbanukaofficial/claude-code
codeaashu/claude-code,1741,1741,2604,33,33,41,https://github.com/codeaashu/claude-code
tanbiralam/claude-code,1298,1298,2219,8,8,2,https://github.com/tanbiralam/claude-code
hesreallyhim/awesome-claude-code,36987,36987,2942,74,74,14,https://github.com/hesreallyhim/awesome-claude-code
RishabhK103/claude-code,49,49,7377,0,0,-6,https://github.com/RishabhK103/claude-code
pengchengneo/Claude-Code,1061,1061,2012,10,10,10,https://github.com/pengchengneo/Claude-Code
musistudio/claude-code-router,31651,31651,2505,21,21,4,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,24243,24243,2385,18,18,6,https://github.com/davila7/claude-code-templates
shanraisshan/claude-code-best-practice,32486,32486,2977,93,93,8,https://github.com/shanraisshan/claude-code-best-practice
LING71671/Open-ClaudeCode,663,663,991,2,2,8,https://github.com/LING71671/Open-ClaudeCode
Onewon/claude-code,165,165,2208,0,0,5,https://github.com/Onewon/claude-code
oboard/claude-code-rev,2802,2802,3601,11,11,9,https://github.com/oboard/claude-code-rev
ponponon/claude_code_src,2061,2061,3372,5,5,6,https://github.com/ponponon/claude_code_src
VoltAgent/awesome-claude-code-subagents,16496,16496,1867,41,41,8,https://github.com/VoltAgent/awesome-claude-code-subagents
anthropics/claude-code-action,6920,6920,1673,7,7,1,https://github.com/anthropics/claude-code-action
Piebald-AI/claude-code-system-prompts,8365,8365,1551,20,20,2,https://github.com/Piebald-AI/claude-code-system-prompts
Donchitos/Claude-Code-Game-Studios,8269,8269,1252,24,24,7,https://github.com/Donchitos/Claude-Code-Game-Studios
diet103/claude-code-infrastructure-showcase,9421,9421,1203,0,0,0,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,8505,8505,630,4,4,1,https://github.com/frankbria/ralph-claude-code
T-Lab-CUHKSZ/claude-code,285,285,580,2,2,3,https://github.com/T-Lab-CUHKSZ/claude-code
hangsman/claude-code-source,732,732,1696,0,0,4,https://github.com/hangsman/claude-code-source
ykdojo/claude-code-tips,7188,7188,506,6,6,2,https://github.com/ykdojo/claude-code-tips
chauncygu/collection-claude-code-source-code,1706,1706,1906,38,38,23,https://github.com/chauncygu/collection-claude-code-source-code
ChrisWiles/claude-code-showcase,5725,5725,512,1,1,0,https://github.com/ChrisWiles/claude-code-showcase
pedrohcgs/claude-code-my-workflow,850,850,1695,0,0,5,https://github.com/pedrohcgs/claude-code-my-workflow
liuup/claude-code-analysis,1022,1022,991,19,19,7,https://github.com/liuup/claude-code-analysis
OneRedOak/claude-code-workflows,3770,3770,554,0,0,0,https://github.com/OneRedOak/claude-code-workflows
leaked-claude-code/leaked-claude-code,831,831,1020,5,5,8,https://github.com/leaked-claude-code/leaked-claude-code
huangserva/claude-code-cli,519,519,1245,1,1,4,https://github.com/huangserva/claude-code-cli
qwibitai/nanoclaw,26701,26701,10964,38,38,52,https://github.com/qwibitai/nanoclaw
1rgs/claude-code-proxy,3379,3379,447,2,2,1,https://github.com/1rgs/claude-code-proxy
lintsinghua/claude-code-book,2200,2200,544,26,26,4,https://github.com/lintsinghua/claude-code-book
777genius/claude-code-source-code,884,884,1128,3,3,2,https://github.com/777genius/claude-code-source-code
disler/claude-code-hooks-mastery,3480,3480,594,4,4,1,https://github.com/disler/claude-code-hooks-mastery
anthropics/skills,111711,111711,12660,172,172,25,https://github.com/anthropics/skills
zebbern/claude-code-guide,3862,3862,366,1,1,1,https://github.com/zebbern/claude-code-guide
alex000kim/claude-code,197,197,306,3,3,2,https://github.com/alex000kim/claude-code
Maciek-roboblog/Claude-Code-Usage-Monitor,7383,7383,365,6,6,1,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
sickn33/antigravity-awesome-skills,31135,31135,5199,64,64,13,https://github.com/sickn33/antigravity-awesome-skills
kodu-ai/claude-coder,5281,5281,198,0,0,0,https://github.com/kodu-ai/claude-coder
VineeTagarwaL-code/claude-code,259,259,261,1,1,0,https://github.com/VineeTagarwaL-code/claude-code
Yuyz0112/claude-code-reverse,2337,2337,401,1,1,0,https://github.com/Yuyz0112/claude-code-reverse
zstmfhy/Claude-code,188,188,284,0,0,0,https://github.com/zstmfhy/Claude-code
xorespesp/claude-code,205,205,282,1,1,2,https://github.com/xorespesp/claude-code
lorryjovens-hub/claude-code-rust,1160,1160,468,11,11,7,https://github.com/lorryjovens-hub/claude-code-rust
fuergaosi233/claude-code-proxy,2348,2348,329,2,2,0,https://github.com/fuergaosi233/claude-code-proxy
RichardAtCT/claude-code-telegram,2370,2370,320,6,6,0,https://github.com/RichardAtCT/claude-code-telegram
anthropics/claude-code-security-review,4141,4141,363,3,3,0,https://github.com/anthropics/claude-code-security-review
FlorianBruniaux/claude-code-ultimate-guide,2990,2990,421,11,11,-1,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
freestylefly/claude-code,119,119,273,0,0,0,https://github.com/freestylefly/claude-code
Cranot/claude-code-guide,2574,2574,285,0,0,0,https://github.com/Cranot/claude-code-guide
chiragjoshi12/claude-code,177,177,214,2,2,1,https://github.com/chiragjoshi12/claude-code
AprilNEA/claude-code-source,360,360,610,2,2,3,https://github.com/AprilNEA/claude-code-source
Alishahryar1/free-claude-code,1713,1713,304,13,13,2,https://github.com/Alishahryar1/free-claude-code
anthropics/claude-code-base-action,785,785,598,1,1,0,https://github.com/anthropics/claude-code-base-action
Windy3f3f3f3f/how-claude-code-works,1544,1544,461,14,14,4,https://github.com/Windy3f3f3f3f/how-claude-code-works
Kuberwastaken/claurst,8527,8527,7632,44,44,11,https://github.com/Kuberwastaken/claurst
ding113/claude-code-hub,2302,2302,260,3,3,-1,https://github.com/ding113/claude-code-hub
mehmoodosman/claude-code,154,154,210,4,4,2,https://github.com/mehmoodosman/claude-code
fazxes/Claude-code,193,193,198,2,2,0,https://github.com/fazxes/Claude-code
eyaltoledano/claude-task-master,26425,26425,2477,3,3,2,https://github.com/eyaltoledano/claude-task-master
wanshuiyin/Auto-claude-code-research-in-sleep,5654,5654,496,25,25,3,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
