full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,123813,123813,20406,83,83,6,https://github.com/anthropics/claude-code
claude-code-best/claude-code,18261,18261,15811,15,15,5,https://github.com/claude-code-best/claude-code
affaan-m/everything-claude-code,182790,182790,28157,193,193,32,https://github.com/affaan-m/everything-claude-code
jarmuine/claude-code,2144,2144,5871,2,2,0,https://github.com/jarmuine/claude-code
yasasbanukaofficial/claude-code,3202,3202,4537,1,1,2,https://github.com/yasasbanukaofficial/claude-code
shareAI-lab/learn-claude-code,60644,60644,9926,60,60,5,https://github.com/shareAI-lab/learn-claude-code
codeaashu/claude-code,2594,2594,3300,5,5,2,https://github.com/codeaashu/claude-code
ChinaSiro/claude-code-sourcemap,9193,9193,14624,2,2,1,https://github.com/ChinaSiro/claude-code-sourcemap
tanbiralam/claude-code,1684,1684,2516,1,1,-1,https://github.com/tanbiralam/claude-code
pengchengneo/Claude-Code,1344,1344,2331,1,1,4,https://github.com/pengchengneo/Claude-Code
RishabhK103/claude-code,81,81,7283,0,0,-1,https://github.com/RishabhK103/claude-code
hesreallyhim/awesome-claude-code,43824,43824,3738,34,34,2,https://github.com/hesreallyhim/awesome-claude-code
shanraisshan/claude-code-best-practice,53141,53141,5314,31,31,6,https://github.com/shanraisshan/claude-code-best-practice
Alishahryar1/free-claude-code,24729,24729,3677,56,56,11,https://github.com/Alishahryar1/free-claude-code
musistudio/claude-code-router,34023,34023,2766,13,13,1,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,27294,27294,2785,6,6,3,https://github.com/davila7/claude-code-templates
LING71671/Open-ClaudeCode,830,830,1183,0,0,0,https://github.com/LING71671/Open-ClaudeCode
Onewon/claude-code,180,180,2275,0,0,0,https://github.com/Onewon/claude-code
oboard/claude-code-rev,3132,3132,3793,0,0,1,https://github.com/oboard/claude-code-rev
Donchitos/Claude-Code-Game-Studios,18791,18791,2746,25,25,2,https://github.com/Donchitos/Claude-Code-Game-Studios
VoltAgent/awesome-claude-code-subagents,19859,19859,2302,28,28,6,https://github.com/VoltAgent/awesome-claude-code-subagents
ponponon/claude_code_src,2229,2229,3503,0,0,1,https://github.com/ponponon/claude_code_src
anthropics/claude-code-action,7586,7586,1831,3,3,1,https://github.com/anthropics/claude-code-action
